ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: ADD I, V2 | I: 0x4C5 | SP: 0 | V: 38 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x4C5 | SP: 0 | V: 38 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x4C5 | SP: 0 | V: 38 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x4C5 | SP: 0 | V: 38 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x4C5 | SP: 0 | V: 38 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x4CD | SP: 0 | V: 38 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x4CD | SP: 0 | V: 38 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x4CD | SP: 0 | V: 38 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x4CD | SP: 0 | V: 38 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x4CD | SP: 0 | V: 38 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x4D5 | SP: 0 | V: 38 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x4D5 | SP: 0 | V: 38 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x4D5 | SP: 0 | V: 38 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x4D5 | SP: 0 | V: 38 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x4D5 | SP: 0 | V: 38 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x4DD | SP: 0 | V: 38 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x4DD | SP: 0 | V: 38 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V0, 08 | I: 0x4DD | SP: 0 | V: 40 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V1, 00 | I: 0x4DD | SP: 0 | V: 40 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V0, 40 | I: 0x4DD | SP: 0 | V: 40 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V9, 05 | I: 0x4DD | SP: 0 | V: 40 00 08 00 00 00 00 00 00 05 00 00 00 00 00 00 
IR: LD VC, 15 | I: 0x4DD | SP: 0 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
